
================================================================================
Table: POS_CASH_balance.csv | Rows: 10,001,358 | Columns: 8
                       null_count  null_percentage
CNT_INSTALMENT_FUTURE       26087             0.26
CNT_INSTALMENT              26071             0.26
./../data/raw/application_test.csv

================================================================================
Table: application_test.csv | Rows: 48,744 | Columns: 121
                              null_count  null_percentage
COMMONAREA_AVG                     33495            68.72
COMMONAREA_MODE                    33495            68.72
COMMONAREA_MEDI                    33495            68.72
NONLIVINGAPARTMENTS_AVG            33347            68.41
NONLIVINGAPARTMENTS_MODE           33347            68.41
NONLIVINGAPARTMENTS_MEDI           33347            68.41
FONDKAPREMONT_MODE                 32797            67.28
LIVINGAPARTMENTS_MODE              32780            67.25
LIVINGAPARTMENTS_AVG               32780            67.25
LIVINGAPARTMENTS_MEDI              32780            67.25
FLOORSMIN_MEDI                     32466            66.61
FLOORSMIN_AVG                      32466            66.61
FLOORSMIN_MODE                     32466            66.61
OWN_CAR_AGE                        32312            66.29
YEARS_BUILD_MODE                   31818            65.28
YEARS_BUILD_AVG                    31818            65.28
YEARS_BUILD_MEDI                   31818            65.28
LANDAREA_MEDI                      28254            57.96
LANDAREA_MODE                      28254            57.96
LANDAREA_AVG                       28254            57.96
BASEMENTAREA_AVG                   27641            56.71
BASEMENTAREA_MODE                  27641            56.71
BASEMENTAREA_MEDI                  27641            56.71
NONLIVINGAREA_MODE                 26084            53.51
NONLIVINGAREA_AVG                  26084            53.51
NONLIVINGAREA_MEDI                 26084            53.51
ELEVATORS_MODE                     25189            51.68
ELEVATORS_AVG                      25189            51.68
ELEVATORS_MEDI                     25189            51.68
WALLSMATERIAL_MODE                 23893            49.02
APARTMENTS_MODE                    23887            49.01
APARTMENTS_AVG                     23887            49.01
APARTMENTS_MEDI                    23887            49.01
HOUSETYPE_MODE                     23619            48.46
ENTRANCES_AVG                      23579            48.37
ENTRANCES_MODE                     23579            48.37
ENTRANCES_MEDI                     23579            48.37
LIVINGAREA_MODE                    23552            48.32
LIVINGAREA_AVG                     23552            48.32
LIVINGAREA_MEDI                    23552            48.32
FLOORSMAX_AVG                      23321            47.84
FLOORSMAX_MODE                     23321            47.84
FLOORSMAX_MEDI                     23321            47.84
YEARS_BEGINEXPLUATATION_MEDI       22856            46.89
YEARS_BEGINEXPLUATATION_MODE       22856            46.89
YEARS_BEGINEXPLUATATION_AVG        22856            46.89
TOTALAREA_MODE                     22624            46.41
EMERGENCYSTATE_MODE                22209            45.56
EXT_SOURCE_1                       20532            42.12
OCCUPATION_TYPE                    15605            32.01
EXT_SOURCE_3                        8668            17.78
AMT_REQ_CREDIT_BUREAU_MON           6049            12.41
AMT_REQ_CREDIT_BUREAU_QRT           6049            12.41
AMT_REQ_CREDIT_BUREAU_YEAR          6049            12.41
AMT_REQ_CREDIT_BUREAU_HOUR          6049            12.41
AMT_REQ_CREDIT_BUREAU_DAY           6049            12.41
AMT_REQ_CREDIT_BUREAU_WEEK          6049            12.41
NAME_TYPE_SUITE                      911             1.87
DEF_30_CNT_SOCIAL_CIRCLE              29             0.06
OBS_30_CNT_SOCIAL_CIRCLE              29             0.06
OBS_60_CNT_SOCIAL_CIRCLE              29             0.06
DEF_60_CNT_SOCIAL_CIRCLE              29             0.06
AMT_ANNUITY                           24             0.05
EXT_SOURCE_2                           8             0.02
./../data/raw/application_train.csv

================================================================================
Table: application_train.csv | Rows: 307,511 | Columns: 122
                              null_count  null_percentage
COMMONAREA_MEDI                   214865            69.87
COMMONAREA_MODE                   214865            69.87
COMMONAREA_AVG                    214865            69.87
NONLIVINGAPARTMENTS_MODE          213514            69.43
NONLIVINGAPARTMENTS_MEDI          213514            69.43
NONLIVINGAPARTMENTS_AVG           213514            69.43
FONDKAPREMONT_MODE                210295            68.39
LIVINGAPARTMENTS_AVG              210199            68.35
LIVINGAPARTMENTS_MEDI             210199            68.35
LIVINGAPARTMENTS_MODE             210199            68.35
FLOORSMIN_MEDI                    208642            67.85
FLOORSMIN_MODE                    208642            67.85
FLOORSMIN_AVG                     208642            67.85
YEARS_BUILD_MODE                  204488            66.50
YEARS_BUILD_MEDI                  204488            66.50
YEARS_BUILD_AVG                   204488            66.50
OWN_CAR_AGE                       202929            65.99
LANDAREA_AVG                      182590            59.38
LANDAREA_MEDI                     182590            59.38
LANDAREA_MODE                     182590            59.38
BASEMENTAREA_MODE                 179943            58.52
BASEMENTAREA_MEDI                 179943            58.52
BASEMENTAREA_AVG                  179943            58.52
